Geo type,Geography ,Category ,Year,Value
Supervisory Union/School District,Central Vermont SU,English All Students,2023,0.449438
Supervisory Union/School District,Central Vermont SU,English No Special Ed,2023,***
Supervisory Union/School District,Central Vermont SU,English Special Ed,2023,***
Supervisory Union/School District,Central Vermont SU,English ELL,2023,0
Supervisory Union/School District,Central Vermont SU,English Not ELL,2023,0.449438
Supervisory Union/School District,Central Vermont SU,English FRL,2023,0.285714
Supervisory Union/School District,Central Vermont SU,English Not FRL,2023,0.52459
Supervisory Union/School District,Central Vermont SU,English Foster,2023,***
Supervisory Union/School District,Central Vermont SU,English Not Foster,2023,***
Supervisory Union/School District,Central Vermont SU,English Female,2023,0.469388
Supervisory Union/School District,Central Vermont SU,English Male,2023,0.425
Supervisory Union/School District,Central Vermont SU,English Historically Marginalized,2023,0.243902
Supervisory Union/School District,Central Vermont SU,English Not Historically Marginalized,2023,0.625
Supervisory Union/School District,Central Vermont SU,English McKinney Vento Eligible,2023,***
Supervisory Union/School District,Central Vermont SU,English Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Central Vermont SU,English Migrant,2023,0
Supervisory Union/School District,Central Vermont SU,English Not Migrant,2023,0.449438
Supervisory Union/School District,Central Vermont SU,English Military,2023,0
Supervisory Union/School District,Central Vermont SU,English Not Military,2023,0.449438
Supervisory Union/School District,Central Vermont SU,English American Indian or Alaskan Native,2023,0
Supervisory Union/School District,Central Vermont SU,English Asian,2023,0
Supervisory Union/School District,Central Vermont SU,English Black,2023,***
Supervisory Union/School District,Central Vermont SU,English Hispanic,2023,***
Supervisory Union/School District,Central Vermont SU,English Native Hawaiian or Pacific Islander,2023,0
Supervisory Union/School District,Central Vermont SU,English White,2023,0.448276
Supervisory Union/School District,Central Vermont SU,Math All Students,2023,0.280899
Supervisory Union/School District,Central Vermont SU,Math No Special Ed,2023,***
Supervisory Union/School District,Central Vermont SU,Math Special Ed,2023,***
Supervisory Union/School District,Central Vermont SU,Math ELL,2023,0
Supervisory Union/School District,Central Vermont SU,Math Not ELL,2023,0.280899
Supervisory Union/School District,Central Vermont SU,Math FRL,2023,0.214286
Supervisory Union/School District,Central Vermont SU,Math Not FRL,2023,0.311475
Supervisory Union/School District,Central Vermont SU,Math Foster,2023,***
Supervisory Union/School District,Central Vermont SU,Math Not Foster,2023,***
Supervisory Union/School District,Central Vermont SU,Math Female,2023,0.265306
Supervisory Union/School District,Central Vermont SU,Math Male,2023,0.3
Supervisory Union/School District,Central Vermont SU,Math Historically Marginalized,2023,0.170732
Supervisory Union/School District,Central Vermont SU,Math Not Historically Marginalized,2023,0.375
Supervisory Union/School District,Central Vermont SU,Math McKinney Vento Eligible,2023,***
Supervisory Union/School District,Central Vermont SU,Math Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Central Vermont SU,Math Migrant,2023,0
Supervisory Union/School District,Central Vermont SU,Math Not Migrant,2023,0.280899
Supervisory Union/School District,Central Vermont SU,Math Military,2023,0
Supervisory Union/School District,Central Vermont SU,Math Not Military,2023,0.280899
Supervisory Union/School District,Central Vermont SU,Math American Indian or Alaskan Native,2023,0
Supervisory Union/School District,Central Vermont SU,Math Asian,2023,0
Supervisory Union/School District,Central Vermont SU,Math Black,2023,***
Supervisory Union/School District,Central Vermont SU,Math Hispanic,2023,***
Supervisory Union/School District,Central Vermont SU,Math Native Hawaiian or Pacific Islander,2023,0
Supervisory Union/School District,Central Vermont SU,Math White,2023,0.287356
Supervisory Union/School District,Champlain Valley SD,English All Students,2023,0.697987
Supervisory Union/School District,Champlain Valley SD,English No Special Ed,2023,0.748175
Supervisory Union/School District,Champlain Valley SD,English Special Ed,2023,0.125
Supervisory Union/School District,Champlain Valley SD,English ELL,2023,0.1875
Supervisory Union/School District,Champlain Valley SD,English Not ELL,2023,0.72695
Supervisory Union/School District,Champlain Valley SD,English FRL,2023,0.32
Supervisory Union/School District,Champlain Valley SD,English Not FRL,2023,0.732601
Supervisory Union/School District,Champlain Valley SD,English Foster,2023,0
Supervisory Union/School District,Champlain Valley SD,English Not Foster,2023,0.697987
Supervisory Union/School District,Champlain Valley SD,English Female,2023,0.699346
Supervisory Union/School District,Champlain Valley SD,English Male,2023,0.696552
Supervisory Union/School District,Champlain Valley SD,English Historically Marginalized,2023,0.394366
Supervisory Union/School District,Champlain Valley SD,English Not Historically Marginalized,2023,0.792952
Supervisory Union/School District,Champlain Valley SD,English McKinney Vento Eligible,2023,***
Supervisory Union/School District,Champlain Valley SD,English Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Champlain Valley SD,English Migrant,2023,0
Supervisory Union/School District,Champlain Valley SD,English Not Migrant,2023,0.697987
Supervisory Union/School District,Champlain Valley SD,English Military,2023,***
Supervisory Union/School District,Champlain Valley SD,English Not Military,2023,***
Supervisory Union/School District,Champlain Valley SD,English American Indian or Alaskan Native,2023,***
Supervisory Union/School District,Champlain Valley SD,English Asian,2023,***
Supervisory Union/School District,Champlain Valley SD,English Black,2023,***
Supervisory Union/School District,Champlain Valley SD,English Hispanic,2023,***
Supervisory Union/School District,Champlain Valley SD,English Native Hawaiian or Pacific Islander,2023,***
Supervisory Union/School District,Champlain Valley SD,English White,2023,0.70922
Supervisory Union/School District,Champlain Valley SD,Math All Students,2023,***
Supervisory Union/School District,Champlain Valley SD,Math No Special Ed,2023,***
Supervisory Union/School District,Champlain Valley SD,Math Special Ed,2023,***
Supervisory Union/School District,Champlain Valley SD,Math ELL,2023,***
Supervisory Union/School District,Champlain Valley SD,Math Not ELL,2023,***
Supervisory Union/School District,Champlain Valley SD,Math FRL,2023,***
