geo type,geography,year,category,value
AHSD,Morrisville District,2023-02,Qualified Immigrant,*
AHSD,Morrisville District,2023-02,US Citizen,315
AHSD,Morrisville District,2023-02,Unreported,*
AHSD,Newport District,2023-02,None of the above,0
AHSD,Newport District,2023-02,Qualified Immigrant,0
AHSD,Newport District,2023-02,US Citizen,327
AHSD,Newport District,2023-02,Unreported,84
AHSD,Rutland District,2023-02,None of the above,0
AHSD,Rutland District,2023-02,Qualified Immigrant,0
AHSD,Rutland District,2023-02,US Citizen,729
AHSD,Rutland District,2023-02,Unreported,122
AHSD,Springfield District,2023-02,None of the above,0
AHSD,Springfield District,2023-02,Qualified Immigrant,0
AHSD,Springfield District,2023-02,US Citizen,363
AHSD,Springfield District,2023-02,Unreported,92
AHSD,St. Albans District,2023-02,None of the above,*
AHSD,St. Albans District,2023-02,Qualified Immigrant,0
AHSD,St. Albans District,2023-02,US Citizen,507
AHSD,St. Albans District,2023-02,Unreported,*
AHSD,St. Johnsbury District,2023-02,None of the above,0
AHSD,St. Johnsbury District,2023-02,Qualified Immigrant,0
AHSD,St. Johnsbury District,2023-02,US Citizen,594
AHSD,St. Johnsbury District,2023-02,Unreported,88
AHSD,Barre District,2023-01,None of the above,0
AHSD,Barre District,2023-01,Qualified Immigrant,*
AHSD,Barre District,2023-01,US Citizen,317
AHSD,Barre District,2023-01,Unreported,*
AHSD,Bennington District,2023-01,None of the above,0
AHSD,Bennington District,2023-01,Qualified Immigrant,*
AHSD,Bennington District,2023-01,US Citizen,430
AHSD,Bennington District,2023-01,Unreported,*
AHSD,Brattleboro District,2023-01,None of the above,*
AHSD,Brattleboro District,2023-01,Qualified Immigrant,*
AHSD,Brattleboro District,2023-01,US Citizen,275
AHSD,Brattleboro District,2023-01,Unreported,60
AHSD,Burlington District,2023-01,None of the above,*
AHSD,Burlington District,2023-01,Qualified Immigrant,*
AHSD,Burlington District,2023-01,US Citizen,1010
AHSD,Burlington District,2023-01,Unreported,387
AHSD,Hartford District,2023-01,None of the above,0
AHSD,Hartford District,2023-01,Qualified Immigrant,*
AHSD,Hartford District,2023-01,US Citizen,233
AHSD,Hartford District,2023-01,Unreported,*
AHSD,Middlebury District,2023-01,None of the above,0
AHSD,Middlebury District,2023-01,Qualified Immigrant,*
AHSD,Middlebury District,2023-01,US Citizen,307
AHSD,Middlebury District,2023-01,Unreported,*
AHSD,Morrisville District,2023-01,None of the above,0
AHSD,Morrisville District,2023-01,Qualified Immigrant,*
AHSD,Morrisville District,2023-01,US Citizen,286
AHSD,Morrisville District,2023-01,Unreported,*
AHSD,Newport District,2023-01,None of the above,0
AHSD,Newport District,2023-01,Qualified Immigrant,0
AHSD,Newport District,2023-01,US Citizen,311
AHSD,Newport District,2023-01,Unreported,102
AHSD,Rutland District,2023-01,None of the above,0
AHSD,Rutland District,2023-01,Qualified Immigrant,0
AHSD,Rutland District,2023-01,US Citizen,722
AHSD,Rutland District,2023-01,Unreported,133
AHSD,Springfield District,2023-01,None of the above,0
AHSD,Springfield District,2023-01,Qualified Immigrant,0
AHSD,Springfield District,2023-01,US Citizen,334
AHSD,Springfield District,2023-01,Unreported,108
AHSD,St. Albans District,2023-01,None of the above,*
AHSD,St. Albans District,2023-01,Qualified Immigrant,0
AHSD,St. Albans District,2023-01,US Citizen,498
AHSD,St. Albans District,2023-01,Unreported,*
AHSD,St. Johnsbury District,2023-01,None of the above,0
AHSD,St. Johnsbury District,2023-01,Qualified Immigrant,0
AHSD,St. Johnsbury District,2023-01,US Citizen,568
AHSD,St. Johnsbury District,2023-01,Unreported,117
AHSD,Barre District,2022-12,None of the above,0
AHSD,Barre District,2022-12,Qualified Immigrant,*
AHSD,Barre District,2022-12,US Citizen,272
AHSD,Barre District,2022-12,Unreported,*
AHSD,Bennington District,2022-12,None of the above,0
AHSD,Bennington District,2022-12,Qualified Immigrant,*
AHSD,Bennington District,2022-12,US Citizen,411
AHSD,Bennington District,2022-12,Unreported,*
AHSD,Brattleboro District,2022-12,None of the above,*
AHSD,Brattleboro District,2022-12,Qualified Immigrant,*
AHSD,Brattleboro District,2022-12,US Citizen,261
AHSD,Brattleboro District,2022-12,Unreported,68
AHSD,Burlington District,2022-12,None of the above,0
AHSD,Burlington District,2022-12,Qualified Immigrant,18
AHSD,Burlington District,2022-12,US Citizen,923
AHSD,Burlington District,2022-12,Unreported,456
AHSD,Hartford District,2022-12,None of the above,0
AHSD,Hartford District,2022-12,Qualified Immigrant,*
AHSD,Hartford District,2022-12,US Citizen,220
AHSD,Hartford District,2022-12,Unreported,*
AHSD,Middlebury District,2022-12,None of the above,0
AHSD,Middlebury District,2022-12,Qualified Immigrant,*
AHSD,Middlebury District,2022-12,US Citizen,302
AHSD,Middlebury District,2022-12,Unreported,*
AHSD,Morrisville District,2022-12,None of the above,0
